FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,COUNTY_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,MAP_NAME
32304,New Tanks,Reservoir,MA,Berkshire,42.705867,-73.0307731,655,North Adams
205110,Appalachian National Scenic Trail,Trail,PA,Perry,40.3221113,-77.0775473,200,Wertzville
205183,Babbs Beach,Beach,CT,Hartford,42.0320395,-72.7545385,70,Southwick
205670,Bradley Brook,Stream,CT,Hartford,41.9781517,-72.8003741,60,Tariffville
205707,Breakneck Pond,Lake,CT,Tolland,42.0190428,-72.1107621,212,Southbridge
205772,Browns Brook,Stream,CT,Tolland,42.0339846,-72.1542437,208,Wales
206357,Cohasse Brook,Stream,MA,Worcester,42.0734287,-72.0247971,128,Southbridge
206373,Colebrook River Lake,Reservoir,CT,Litchfield,42.027999,-73.0480635,197,Tolland Center
206425,Connecticut River,Stream,CT,New London,41.2723203,-72.3331382,0,Old Lyme
206543,Crow Hill Brook,Stream,CT,Tolland,42.0173179,-72.3225808,179,Monson
206698,Dismal Brook,Stream,CT,Hartford,41.9889847,-72.8214861,79,Tariffville
206787,East Branch Farmington River,Stream,CT,Litchfield,41.8667635,-72.95427,106,Collinsville
206792,East Branch Salmon Brook,Stream,CT,Hartford,41.9428746,-72.7806512,49,Tariffville
207169,Fourmile Brook,Stream,CT,Hartford,42.0389843,-72.6187007,15,Springfield South
207179,Fox Brook,Stream,CT,Hartford,42.0250948,-72.8600988,143,Southwick
207207,French River,Stream,CT,Windham,41.9425977,-71.8981278,88,Putnam
207313,Ginger Creek,Stream,CT,Litchfield,42.0453704,-73.2337242,288,South Sandisfield
207603,Halfway Brook,Stream,CT,Hartford,42.0523159,-72.9584362,268,West Granville
207634,Hamilton Reservoir,Reservoir,MA,Hampden,42.0576014,-72.1553258,208,Wales
207714,Hatchet Brook,Stream,MA,Worcester,42.0714843,-72.0603532,162,Southbridge
207716,Hatchet Pond,Lake,CT,Windham,42.0249791,-72.0904988,266,Southbridge
208000,Hubbard River,Stream,CT,Hartford,42.0306499,-72.9342686,164,West Granville
208425,Lebanon Brook,Stream,MA,Worcester,42.0717622,-72.0136858,125,Southbridge
208545,Long Branch Brook,Stream,CT,Windham,42.0123194,-71.8797941,123,Webster
208779,May Brook,Stream,CT,Tolland,42.0325957,-72.1656328,232,Wales
209103,Mount Prospect,Summit,CT,Litchfield,42.0400935,-73.0589957,384,Tolland Center
209108,Mountain Brook,Stream,CT,Hartford,42.0050957,-72.7714837,70,Southwick
209125,Muddy Brook,Stream,CT,Hartford,41.9748187,-72.6573132,33,Windsor Locks
209127,Muddy Pond,Lake,CT,Windham,42.0225039,-72.0312762,199,Southbridge
209330,North Brook,Stream,CT,Litchfield,42.0139829,-73.0923309,302,Tolland Center
209367,North Norfolk Chapel,Church,CT,Litchfield,42.0448149,-73.2237239,375,South Sandisfield
209720,Perry Pond,Lake,CT,Windham,42.0233332,-71.8906739,143,Webster
209735,Philo Brook,Stream,CT,Hartford,41.9967629,-72.6603687,34,Windsor Locks
209960,Potash Brook,Stream,CT,Tolland,42.0173178,-72.2578567,214,Monson
210057,Quinebaug River,Stream,CT,New London,41.5564871,-72.0453541,8,Norwich
210099,Raspberry Brook,Stream,CT,Hartford,42.0278734,-72.6039779,12,Springfield South
210110,Rattlesnake Hill,Summit,CT,Tolland,42.0325957,-72.4073054,322,Hampden
210256,Rockadundee Brook,Stream,CT,Tolland,42.050651,-72.385916,97,Hampden
210382,Sages Ravine,Valley,CT,Litchfield,42.0492584,-73.4317859,261,Bash Bish Falls
210634,Sandy Brook,Stream,CT,Litchfield,41.9714838,-73.0367734,170,Winsted
210667,Sawmill Brook,Stream,CT,Tolland,42.0284289,-72.3150806,183,Monson
210685,Scantic River,Stream,CT,Hartford,41.8681537,-72.6162011,3,Manchester
210848,Shunway Brook,Stream,CT,Windham,41.9956529,-71.9278505,97,Putnam
211168,Stevens Brook,Stream,MA,Hampden,42.0620397,-72.1600773,208,Wales
211185,Still Brook,Stream,CT,Hartford,42.0345397,-72.6787027,49,West Springfield
211459,Thrasher Brook,Stream,CT,Tolland,42.0075962,-72.4600845,57,Hampden
211584,Tufts Branch,Stream,CT,Windham,42.0142636,-71.9445176,105,Webster
211717,Valley Brook,Stream,CT,Hartford,42.0306499,-72.932602,164,West Granville
211849,Watchaug Brook,Stream,CT,Tolland,42.013985,-72.4639735,60,Hampden
211923,West Branch Farmington River,Stream,CT,Litchfield,41.8667635,-72.95427,106,Collinsville
212395,Freshwater Brook,Stream,CT,Hartford,41.997874,-72.6056446,12,Broad Brook
212670,Housatonic River,Stream,CT,Fairfield,41.169264,-73.1084417,0,Milford
213351,WPKX-FM (Enfield),Tower,MA,Hampden,42.08491,-72.70404,196,West Springfield
567378,Gulf of Maine,Bay,ME,Washington,44.5723018,-67.3102642,0,Cross Island
598523,Belcher Square,Populated Place,MA,Berkshire,42.2000891,-73.346778,216,Great Barrington
598524,Day Mountain,Summit,MA,Berkshire,42.4620294,-73.1612139,545,Pittsfield East
598525,Eph Pond,Lake,MA,Berkshire,42.7198949,-73.1971991,179,Williamstown
598526,Houghtonville,Populated Place,MA,Berkshire,42.7125816,-73.1076038,308,North Adams
598527,North Egremont,Populated Place,MA,Berkshire,42.196756,-73.4378921,243,Egremont
598528,Tully Mountain,Summit,MA,Berkshire,42.4403631,-73.1606585,631,Pittsfield East
598529,White Oaks,Populated Place,MA,Berkshire,42.7309136,-73.1976067,202,Williamstown
598530,The Pinacle,Summit,MA,Berkshire,42.1928675,-73.1001051,477,Otis
598531,Congamond Lakes,Lake,MA,Hampden,42.0250953,-72.756483,70,Southwick
598532,Mundale,Populated Place,MA,Hampden,42.1184261,-72.8112073,85,Southwick
598533,Northampton Reservoir,Reservoir,MA,Franklin,42.4393255,-72.6842092,184,Williamsburg
598534,Munns Ferry,Populated Place,MA,Franklin,42.6542516,-72.4661987,59,Northfield
598535,Soapstone Hill,Summit,MA,Worcester,42.477589,-72.2656387,269,Quabbin Reservoir
598536,Norcross Pond Number Three,Reservoir,MA,Hampden,42.3350922,-71.83785,214,Worcester North
